Id,Source,Target,Type,Weight
1,Scarlett Johansson,Natalie Portman,Undirected,4
2,Emma Stone,Scarlett Johansson,Undirected,1
3,Sandra Bullock,Anne Hathaway,Undirected,1
4,Meryl Streep,Anne Hathaway,Undirected,1
5,Reese Witherspoon,Meryl Streep,Undirected,3
6,JenniferLawrence,Anne Hathaway,Undirected,1
7,JenniferLawrence,Charlize Theron,Undirected,1
8,BettyWhite,Sandra Bullock,Undirected,1
9,BettyWhite,Meryl Streep,Undirected,1
10,JuliaRoberts,Meryl Streep,Undirected,3
11,JuliaRoberts,Anne Hathaway,Undirected,1
12,JuliaRoberts,Natalie Portman,Undirected,4
13,JuliaRoberts,Reese Witherspoon,Undirected,1
14,MichellePfeiffer,Natalie Portman,Undirected,2
15,MichellePfeiffer,Scarlett Johansson,Undirected,1
16,MichellePfeiffer,JenniferLawrence,Undirected,1
17,MichellePfeiffer,BettyWhite,Undirected,1
18,MichellePfeiffer,Sandra Bullock,Undirected,1
19,JulianneMoore,JenniferLawrence,Undirected,2
20,JulianneMoore,Scarlett Johansson,Undirected,1
21,JulianneMoore,Emma Stone,Undirected,1
22,JulianneMoore,Meryl Streep,Undirected,1
23,JessicaChastain,JenniferLawrence,Undirected,1
24,JessicaChastain,Charlize Theron,Undirected,1
25,JessicaChastain,Anne Hathaway,Undirected,1
26,JessicaChastain,Emma Stone,Undirected,1
27,JessicaChastain,MichellePfeiffer,Undirected,1
28,DianeLane,Anne Hathaway,Undirected,1
29,AmandaSeyfried,Meryl Streep,Undirected,2
30,AmandaSeyfried,Charlize Theron,Undirected,2
31,AmandaSeyfried,Anne Hathaway,Undirected,1
32,AmandaSeyfried,JulianneMoore,Undirected,2
33,JenniferAniston,JuliaRoberts,Undirected,1
34,JenniferAniston,Scarlett Johansson,Undirected,1
35,JenniferAniston,Reese Witherspoon,Undirected,1
36,KristenBell,AmandaSeyfried,Undirected,1
37,KristenBell,Emma Stone,Undirected,1
38,KristenBell,BettyWhite,Undirected,1
39,KristenBell,Charlize Theron,Undirected,1
40,KristenBell,Anne Hathaway,Undirected,1
41,JenniferGarner,AmandaSeyfried,Undirected,1
42,JenniferGarner,JuliaRoberts,Undirected,2
43,JenniferGarner,JenniferAniston,Undirected,1
44,JenniferGarner,Anne Hathaway,Undirected,1
45,JenniferGarner,Emma Stone,Undirected,1
46,MilaKunis,JenniferGarner,Undirected,1
47,MilaKunis,KristenBell,Undirected,3
48,MilaKunis,JessicaChastain,Undirected,1
49,MilaKunis,Scarlett Johansson,Undirected,1
50,MilaKunis,Emma Stone,Undirected,2
51,MilaKunis,Natalie Portman,Undirected,2
52,MilaKunis,BettyWhite,Undirected,1
53,ElizabethBanks,JenniferLawrence,Undirected,4
54,ElizabethBanks,JulianneMoore,Undirected,3
55,ElizabethBanks,DianeLane,Undirected,1
56,ElizabethBanks,Emma Stone,Undirected,1
57,ElizabethBanks,KristenBell,Undirected,1
58,ElizabethBanks,MichellePfeiffer,Undirected,1
59,ElizabethBanks,JenniferGarner,Undirected,1
60,AmyAdams,DianeLane,Undirected,3
61,AmyAdams,JenniferLawrence,Undirected,1
62,AmyAdams,Meryl Streep,Undirected,2
63,AmyAdams,JuliaRoberts,Undirected,1
64,AmyAdams,JenniferGarner,Undirected,1
65,AmyAdams,ElizabethBanks,Undirected,1
66,JessicaLange,MichellePfeiffer,Undirected,1
67,JessicaLange,DianeLane,Undirected,1
68,ViolaDavis,JessicaChastain,Undirected,4
69,ViolaDavis,Sandra Bullock,Undirected,1
70,ViolaDavis,Emma Stone,Undirected,1
71,ViolaDavis,JuliaRoberts,Undirected,1
72,ViolaDavis,Meryl Streep,Undirected,1
73,ViolaDavis,AmyAdams,Undirected,1
74,ViolaDavis,DianeLane,Undirected,1
75,ViolaDavis,JulianneMoore,Undirected,1
76,ZoeSaldana,Natalie Portman,Undirected,2
77,ZoeSaldana,Scarlett Johansson,Undirected,2
78,ZoeSaldana,MichellePfeiffer,Undirected,1
79,ZoeSaldana,MilaKunis,Undirected,3
80,WinonaRyder,Natalie Portman,Undirected,4
81,WinonaRyder,MilaKunis,Undirected,1
82,WinonaRyder,ZoeSaldana,Undirected,1
83,WinonaRyder,JulianneMoore,Undirected,1
84,WinonaRyder,AmandaSeyfried,Undirected,1
85,WinonaRyder,Meryl Streep,Undirected,2
86,WinonaRyder,MichellePfeiffer,Undirected,1
87,MarisaTomei,Natalie Portman,Undirected,2
88,MarisaTomei,Scarlett Johansson,Undirected,2
89,MarisaTomei,MichellePfeiffer,Undirected,1
90,MarisaTomei,ZoeSaldana,Undirected,1
91,MarisaTomei,AmandaSeyfried,Undirected,1
92,MarisaTomei,Emma Stone,Undirected,1
93,MarisaTomei,JulianneMoore,Undirected,1
94,MarisaTomei,Sandra Bullock,Undirected,1
95,JamieLeeCurtis,MarisaTomei,Undirected,1
96,JamieLeeCurtis,AmandaSeyfried,Undirected,1
97,JamieLeeCurtis,KristenBell,Undirected,1
